id,category
919934,1 Good
919935,2 Poor
919936,2 Poor
919937,2 Poor
919939,2 Poor
919940,2 Poor
919941,2 Poor
919942,1 Good
919943,1 Good
919944,1 Good
919948,1 Good
919949,1 Good
919950,1 Good
919953,2 Poor
919954,1 Good
919955,2 Poor
919956,2 Poor
919961,1 Good
919962,2 Poor
919963,2 Poor
919964,2 Poor
919965,2 Poor
919967,1 Good
919968,1 Good
919969,1 Good
919970,2 Poor
919971,2 Poor
919972,2 Poor
919973,1 Good
919974,1 Good
919975,2 Poor
919976,2 Poor
919977,2 Poor
919978,1 Good
919979,2 Poor
919980,1 Good
919981,2 Poor
919983,2 Poor
919984,1 Good
919985,1 Good
919986,2 Poor
919987,1 Good
919988,1 Good
919989,1 Good
919991,2 Poor
919993,1 Good
919994,1 Good
919996,1 Good
919999,2 Poor
920000,2 Poor
920001,2 Poor
920003,2 Poor
920008,2 Poor
920009,1 Good
920010,2 Poor
920011,2 Poor
920012,2 Poor
920013,2 Poor
920014,1 Good
920015,1 Good
920017,2 Poor
920019,1 Good
920020,1 Good
920026,1 Good
920027,1 Good
920029,1 Good
920034,2 Poor
920035,2 Poor
920036,1 Good
920037,1 Good
920038,2 Poor
920039,1 Good
920042,1 Good
920044,2 Poor
920045,1 Good
920046,1 Good
920047,2 Poor
920048,1 Good
920049,1 Good
920052,2 Poor
920053,1 Good
920054,1 Good
920055,2 Poor
920056,2 Poor
920057,1 Good
920058,2 Poor
920059,1 Good
920060,1 Good
920061,1 Good
920063,2 Poor
920067,2 Poor
920069,2 Poor
920070,1 Good
920071,1 Good
920073,1 Good
920075,1 Good
920080,2 Poor
920081,1 Good
920082,1 Good
920085,2 Poor
920086,1 Good
920087,2 Poor
920088,2 Poor
920089,1 Good
920090,2 Poor
920091,2 Poor
920094,1 Good
920095,1 Good
920096,1 Good
920097,1 Good
920098,1 Good
920099,2 Poor
920100,1 Good
920101,1 Good
920102,2 Poor
920103,2 Poor
920104,1 Good
920106,1 Good
920111,1 Good
920119,2 Poor
920120,1 Good
920121,2 Poor
920122,2 Poor
920124,1 Good
920125,1 Good
920128,3 Bad
920129,1 Good
920130,2 Poor
920132,1 Good
920133,1 Good
920134,1 Good
920135,1 Good
920136,2 Poor
920137,2 Poor
920138,2 Poor
920143,2 Poor
920146,2 Poor
920147,2 Poor
920148,2 Poor
920149,1 Good
920150,1 Good
920152,2 Poor
920153,2 Poor
920154,1 Good
920155,1 Good
920161,2 Poor
920162,2 Poor
920163,1 Good
920164,1 Good
920165,1 Good
920166,1 Good
920168,1 Good
920169,1 Good
920171,2 Poor
920172,2 Poor
920173,2 Poor
920175,2 Poor
920176,1 Good
920179,2 Poor
920180,1 Good
920182,2 Poor
920183,1 Good
920188,2 Poor
920189,1 Good
920190,1 Good
920191,2 Poor
920192,2 Poor
920193,1 Good
920194,2 Poor
920195,2 Poor
920196,1 Good
920197,1 Good
920198,2 Poor
920200,2 Poor
920201,1 Good
920203,1 Good
920204,1 Good
920205,2 Poor
920206,2 Poor
920207,2 Poor
920208,1 Good
920209,1 Good
920210,2 Poor
920211,2 Poor
920212,1 Good
920214,2 Poor
920215,1 Good
920216,2 Poor
920217,2 Poor
920218,2 Poor
920219,1 Good
920221,2 Poor
920222,1 Good
920223,1 Good
920224,2 Poor
920226,2 Poor
920227,1 Good
920228,1 Good
920229,2 Poor
920230,1 Good
920231,2 Poor
920232,2 Poor
920233,2 Poor
920236,1 Good
920238,1 Good
920240,2 Poor
920241,1 Good
920242,1 Good
920243,1 Good
920246,2 Poor
920247,1 Good
920248,1 Good
920249,2 Poor
920250,1 Good
920251,1 Good
920258,2 Poor
920259,2 Poor
920260,2 Poor
920261,1 Good
920262,1 Good
920264,2 Poor
920265,2 Poor
920266,1 Good
920267,2 Poor
920268,2 Poor
920273,1 Good
920274,2 Poor
920275,1 Good
920276,3 Bad
920277,1 Good
920278,1 Good
920279,3 Bad
920281,2 Poor
920282,2 Poor
920283,2 Poor
920284,1 Good
920285,2 Poor
920286,2 Poor
920287,2 Poor
920288,2 Poor
920289,2 Poor
920290,2 Poor
920291,1 Good
920292,1 Good
920296,2 Poor
920297,1 Good
920298,1 Good
920299,2 Poor
920300,1 Good
920301,1 Good
920302,1 Good
920303,2 Poor
920304,1 Good
920305,1 Good
920309,2 Poor
920310,2 Poor
920312,2 Poor
920313,1 Good
920315,3 Bad
920316,1 Good
920317,1 Good
920318,1 Good
920319,2 Poor
920320,1 Good
920321,1 Good
920324,2 Poor
920325,2 Poor
920326,1 Good
920327,1 Good
920328,1 Good
920329,1 Good
920330,1 Good
920335,1 Good
920352,2 Poor
920353,2 Poor
920364,1 Good
920369,1 Good
920375,4 Very bad
920382,2 Poor
920389,2 Poor
920391,2 Poor
920392,2 Poor
920393,2 Poor
920394,2 Poor
920395,1 Good
920396,2 Poor
920403,2 Poor
920408,1 Good
920409,1 Good
920414,1 Good
920415,1 Good
920416,3 Bad
920418,2 Poor
920425,1 Good
920427,1 Good
920441,2 Poor
920442,2 Poor
920443,2 Poor
920444,1 Good
920445,1 Good
920448,2 Poor
920451,2 Poor
920452,2 Poor
920454,2 Poor
920459,2 Poor
920461,1 Good
920464,1 Good
920466,1 Good
920467,2 Poor
920472,2 Poor
920475,2 Poor
920478,2 Poor
920482,2 Poor
920486,2 Poor
920492,2 Poor
920495,1 Good
920500,2 Poor
920507,1 Good
920508,2 Poor
920512,2 Poor
920521,2 Poor
920528,2 Poor
920529,2 Poor
920530,1 Good
920532,2 Poor
920534,2 Poor
920539,2 Poor
920547,2 Poor
920550,1 Good
920553,1 Good
920557,2 Poor
920558,1 Good
920559,1 Good
920560,1 Good
920561,1 Good
920562,2 Poor
920563,1 Good
920564,2 Poor
920565,1 Good
920566,1 Good
920567,1 Good
920568,2 Poor
920569,1 Good
920570,1 Good
920571,2 Poor
920572,1 Good
920573,2 Poor
920574,2 Poor
920575,1 Good
920576,1 Good
920577,1 Good
920578,1 Good
920579,1 Good
920580,1 Good
920582,2 Poor
920583,2 Poor
920584,1 Good
920585,2 Poor
920586,1 Good
920587,1 Good
920588,1 Good
920589,2 Poor
920590,1 Good
920591,1 Good
920592,2 Poor
920593,1 Good
920594,1 Good
920595,2 Poor
920596,1 Good
920597,1 Good
920598,1 Good
920599,2 Poor
920600,1 Good
920601,1 Good
920602,1 Good
920603,2 Poor
920604,1 Good
920605,1 Good
920606,2 Poor
920607,2 Poor
920608,1 Good
920609,2 Poor
920610,2 Poor
920611,2 Poor
920612,1 Good
920613,1 Good
920614,1 Good
920615,2 Poor
920616,1 Good
920617,1 Good
920618,2 Poor
920619,1 Good
920620,2 Poor
920621,1 Good
920622,1 Good
920624,4 Very bad
920625,1 Good
920626,2 Poor
920627,2 Poor
920628,2 Poor
920629,1 Good
920630,2 Poor
920632,1 Good
920633,2 Poor
920634,1 Good
920635,2 Poor
920637,1 Good
920638,1 Good
920639,2 Poor
920640,1 Good
920641,2 Poor
920648,2 Poor
920651,2 Poor
920652,2 Poor
920654,2 Poor
920655,1 Good
920656,2 Poor
920657,2 Poor
920658,3 Bad
920659,1 Good
920660,1 Good
920661,2 Poor
920667,2 Poor
920668,1 Good
920669,1 Good
920670,1 Good
920671,2 Poor
920672,2 Poor
920673,1 Good
920674,2 Poor
920675,1 Good
920676,1 Good
920677,2 Poor
920678,2 Poor
920679,1 Good
920680,1 Good
920681,2 Poor
920682,1 Good
920683,2 Poor
920684,2 Poor
920685,1 Good
920686,2 Poor
920687,1 Good
920688,3 Bad
920689,1 Good
920690,3 Bad
920691,1 Good
920692,1 Good
920693,1 Good
920694,1 Good
920695,1 Good
920696,1 Good
920697,1 Good
920698,2 Poor
920699,2 Poor
920700,1 Good
920701,1 Good
920702,1 Good
920703,2 Poor
920704,2 Poor
